Depth Of Cut,Feed Rate,Lenght Of Cut,Load X,Load Y
0.2,0.2,1.5,598346.0,671413.0
0.2,0.2,1.5,767689.0,738346.0
0.2,0.2,1.5,889873.0,138438.0
0.2,0.2,1.5,960976.0,14598.0
0.2,0.2,1.5,998679.0,141208.0
0.2,0.2,1.5,100849.0,139985.0
0.2,0.2,1.5,112375.0,187225.0
0.2,0.2,1.5,114325.0,185279.0
0.2,0.2,1.5,126547.0,231165.0
0.2,0.2,1.5,129928.0,241922.0
0.2,0.2,1.5,139064.0,30212.0
0.2,0.2,1.5,141017.0,287915.0
0.2,0.2,1.5,141.96,267297.0
0.2,0.2,1.5,142969.0,26484.0
0.2,0.2,1.5,144641.0,267842.0
0.2,0.2,1.5,150055.0,306756.0
0.2,0.2,1.5,151632.0,311856.0
0.2,0.2,1.5,162661.0,372547.0
0.2,0.2,1.5,165751.0,398802.0
0.2,0.2,1.5,166724.0,378015.0
0.2,0.2,1.5,167551.0,35964.0
0.2,0.2,1.5,171819.0,379387.0
0.2,0.2,1.5,174.28,390674.0
0.2,0.2,1.5,175884.0,407238.0
0.2,0.2,1.5,177849.0,436347.0
0.2,0.2,1.5,178857.0,449459.0
0.2,0.2,1.5,179.72,460137.0
0.2,0.2,1.5,182596.0,483097.0
0.2,0.2,1.5,195787.0,565542.0
0.2,0.2,1.5,198898.0,592037.0
0.2,0.2,1.5,194762.0,47282.0
0.2,0.2,1.5,198749.0,510963.0
0.2,0.2,1.5,200893.0,541085.0
0.2,0.2,1.5,203033.0,576332.0
0.2,0.2,1.5,203.38,585487.0
0.2,0.2,1.5,209211.0,659206.0
0.2,0.2,1.5,211639.0,68782.0
0.2,0.2,1.5,213089.0,705619.0
0.2,0.2,1.5,214797.0,720389.0
0.2,0.2,1.5,215297.0,731835.0
0.2,0.2,1.5,215959.0,744507.0
0.2,0.2,1.5,219285.0,789333.0
0.2,0.2,1.5,230429.0,842174.0
0.2,0.2,1.5,233166.0,857561.0
0.2,0.2,1.5,222856.0,640248.0
0.2,0.2,1.5,227435.0,681067.0
0.2,0.2,1.5,229786.0,70653.0
0.2,0.2,1.5,231975.0,731993.0
0.2,0.2,1.5,233567.0,745945.0
0.2,0.2,1.5,236275.0,785963.0
0.2,0.2,1.5,237994.0,802232.0
0.2,0.2,1.5,239.02,814591.0
0.2,0.2,1.5,240507.0,841308.0
0.2,0.2,1.5,241107.0,842518.0
0.2,0.2,1.5,242343.0,866099.0
0.2,0.2,1.5,243217.0,878039.0
0.2,0.2,1.5,243741.0,877301.0
0.2,0.2,1.5,244847.0,899347.0
0.2,0.2,1.5,255473.0,955959.0
0.2,0.2,1.5,257524.0,978596.0
0.2,0.2,1.5,247.99,794719.0
0.2,0.2,1.5,248983.0,803927.0
0.2,0.2,1.5,254373.0,867755.0
0.2,0.2,1.5,257351.0,916844.0
0.2,0.2,1.5,259651.0,95129.0
0.2,0.2,1.5,259816.0,954923.0
